reactionId	parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
vbR	kbR_1	lin	0.0042005	0.0042005	0.0042005	0
vbR	kbR_2	lin	0.04	0.04	0.04	0
vbR	kbR_3	lin	5	5	5	0
vbR	kbR_4	lin	4.864145	4.864145	4.864145	0
vdR	kvdR	2.22E-06
vTL1	kTL1_1	lin	140.7475	140.7475	140.7475	0
vTL1	kTL1_2	lin	100	100	100	0
vTL2	kTL2_1	lin	5.004356	5.004356	5.004356	0
vTL2	kTL2_2	lin	0.0225196	0.0225196	0.0225196	0
vTL2	kTL2_3	lin	100	100	100	0
vTL3	kTL3_1	lin	0.1563861	0.1563861	0.1563861	0
vTL3	kTL3_2	lin	100	100	100	0
vTL4	kTL4_1	lin	0.00453508	0.00453508	0.00453508	0
vTL4	kTL4_2	lin	100	100	100	0
vTL5	kTL5_1	lin	0.02177823	0.02177823	0.02177823	0
vTL5	kTL5_2	lin	100	100	100	0
vTL6	kTL6	lin	70.1487	70.1487	70.1487	0
vTL7	kTL7	lin	4.391771	4.391771	4.391771	0
vTL8	kTL8	lin	4.391771	4.391771	4.391771	0
vTL9	kTL9	lin	4.391771	4.391771	4.391771	0
vTL10	kTL10_1	lin	26.9259	26.9259	26.9259	0
vTL10	kTL10_2	lin	0.0118	0.0118	0.0118	0
vTL10	kTL10_3	lin	10	10	10	0
vTL10	kTL10_4	lin	200	200	200	0
vTL10	kTL10_5	lin	100	100	100	0
vTL11	kTL11_1	lin	26.9259	26.9259	26.9259	0
vTL11	kTL11_2	lin	0.0118	0.0118	0.0118	0
vTL11	kTL11_3	lin	10	10	10	0
vTL11	kTL11_4	lin	200	200	200	0
vTL11	kTL11_5	lin	100	100	100	0
vTL12	kTL12_1	lin	26.9259	26.9259	26.9259	0
vTL12	kTL12_2	lin	0.0118	0.0118	0.0118	0
vTL12	kTL12_3	lin	10	10	10	0
vTL12	kTL12_4	lin	200	200	200	0
vTL12	kTL12_5	lin	100	100	100	0
vTL13	kTL13_1	lin	0.1274	0.1274	0.1274	0
vTL13	kTL13_2	lin	10	10	10	0
vTL13	kTL13_3	lin	200	200	200	0
vTL14	kTL14_1	lin	0.1274	0.1274	0.1274	0
vTL14	kTL14_2	lin	10	10	10	0
vTL14	kTL14_3	lin	200	200	200	0
vTL15	kTL15	lin	13.1753	13.1753	13.1753	0
vTL16	kTL16	lin	11.4186	11.4186	11.4186	0
vTL17	kTL17	lin	9.2227	9.2227	9.2227	0
vTL18	kTL18	lin	10.5402	10.5402	10.5402	0
vTL19	kTL19_1	lin	0.03294	0.03294	0.03294	0
vTL19	kTL19_2	lin	10	10	10	0
vTL19	kTL19_3	lin	200	200	200	0
vTL20	kTL20_1	lin	70.2683	70.2683	70.2683	0
vTL20	kTL20_2	lin	0.0878	0.0878	0.0878	0
vTL20	kTL20_3	lin	10	10	10	0
vTL20	kTL20_4	lin	200	200	200	0
vTL21	kTL21	lin	9.6619	9.6619	9.6619	0
vTL22	kTL22	lin	4.3918	4.3918	4.3918	0
vTL23	kTL23	lin	8.7835	8.7835	8.7835	0
vTL24	kTL24	lin	5.2701	5.2701	5.2701	0
vTL25	kTL25	lin	0.008744	0.008744	0.008744	0
vTL26	kTL26	lin	0.5312	0.5312	0.5312	0
vTL27	kTL27	lin	0.2635	0.2635	0.2635	0
vTL28	kTL28	lin	0.1792	0.1792	0.1792	0
vTL29	kTL29	lin	0.0082295	0.0082295	0.0082295	0
vTL30	kTL30	lin	0.296215	0.296215	0.296215	0
vTL31	kTL31_1	lin	0	0	0	0
vTL31	kTL31_2	lin	100	100	100	0
vTL32	kTL32_1	lin	0.006701184	0.006701184	0.006701184	0
vTL32	kTL32_2	lin	100	100	100	0
vTL33	kTL33_1	lin	0.006964813	0.006964813	0.006964813	0
vTL33	kTL33_2	lin	100	100	100	0
vTL34	kTL34_1	lin	0.04560789	0.04560789	0.04560789	0
vTL34	kTL34_2	lin	100	100	100	0
vTL35	kTL35_1	lin	0.03179686	0.03179686	0.03179686	0
vTL35	kTL35_2	lin	100	100	100	0
vTL36	kTL36_1	lin	0.005187646	0.005187646	0.005187646	0
vTL36	kTL36_2	lin	100	100	100	0
vTL37	kTL37_1	lin	0.003010974	0.003010974	0.003010974	0
vTL37	kTL37_2	lin	100	100	100	0
vTL38	kTL38_1	lin	0.02586757	0.02586757	0.02586757	0
vTL38	kTL38_2	lin	100	100	100	0
vTL39	kTL39_1	lin	0.02314422	0.02314422	0.02314422	0
vTL39	kTL39_2	lin	100	100	100	0
vTL40	kTL40_1	lin	0.004237084	0.004237084	0.004237084	0
vTL40	kTL40_2	lin	100	100	100	0
vTL41	kTL41_1	lin	0.1414059	0.1414059	0.1414059	0
vTL41	kTL41_2	lin	100	100	100	0
vTL42	kTL42_1	lin	0.344433	0.344433	0.344433	0
vTL42	kTL42_2	lin	100	100	100	0
vTL43	kTL43_1	lin	0.04293526	0.04293526	0.04293526	0
vTL43	kTL43_2	lin	100	100	100	0
vTL44	kTL44_1	lin	0.02891033	0.02891033	0.02891033	0
vTL44	kTL44_2	lin	100	100	100	0
vTL45	kTL45_1	lin	0.1031949	0.1031949	0.1031949	0
vTL45	kTL45_2	lin	100	100	100	0
vTL46	kTL46_1	lin	0.4901751	0.4901751	0.4901751	0
vTL46	kTL46_2	lin	100	100	100	0
vTL47	kTL47_1	lin	0.3275386	0.3275386	0.3275386	0
vTL47	kTL47_2	lin	100	100	100	0
vTL48	kTL48_1	lin	0.07033183	0.07033183	0.07033183	0
vTL48	kTL48_2	lin	100	100	100	0
vTL49	kTL49_1	lin	0.1085227	0.1085227	0.1085227	0
vTL49	kTL49_2	lin	100	100	100	0
vTL50	kTL50_1	lin	0.008024529	0.008024529	0.008024529	0
vTL50	kTL50_2	lin	100	100	100	0
vTL51	kTL51_1	lin	0.02476986	0.02476986	0.02476986	0
vTL51	kTL51_2	lin	100	100	100	0
vTL52	kTL52_1	lin	0.1701828	0.1701828	0.1701828	0
vTL52	kTL52_2	lin	100	100	100	0
vTL53	kTL53_1	lin	0.5658597	0.5658597	0.5658597	0
vTL53	kTL53_2	lin	100	100	100	0
vTL54	kTL54_1	lin	0.02889506	0.02889506	0.02889506	0
vTL54	kTL54_2	lin	100	100	100	0
vTL55	kTL55_1	lin	0.4967611	0.4967611	0.4967611	0
vTL55	kTL55_2	lin	100	100	100	0
vTL56	kTL56_1	lin	0.07122388	0.07122388	0.07122388	0
vTL56	kTL56_2	lin	100	100	100	0
vTL57	kTL57_1	lin	0.07122388	0.07122388	0.07122388	0
vTL57	kTL57_2	lin	100	100	100	0
vTL58	kTL58_1	lin	0.5191829	0.5191829	0.5191829	0
vTL58	kTL58_2	lin	100	100	100	0
vTL59	kTL59_1	lin	0.05307133	0.05307133	0.05307133	0
vTL59	kTL59_2	lin	100	100	100	0
vTL60	kTL60_1	lin	0.006055101	0.006055101	0.006055101	0
vTL60	kTL60_2	lin	100	100	100	0
vTL61	kTL61_1	lin	0.01763978	0.01763978	0.01763978	0
vTL61	kTL61_2	lin	100	100	100	0
vTL62	kTL62_1	lin	0.03319824	0.03319824	0.03319824	0
vTL62	kTL62_2	lin	100	100	100	0
vTL63	kTL63_1	lin	0.01428499	0.01428499	0.01428499	0
vTL63	kTL63_2	lin	100	100	100	0
vTL64	kTL64_1	lin	0.07122388	0.07122388	0.07122388	0
vTL64	kTL64_2	lin	100	100	100	0
vTL65	kTL65_1	lin	0.03319589	0.03319589	0.03319589	0
vTL65	kTL65_2	lin	100	100	100	0
vTL66	kTL66_1	lin	0.03319589	0.03319589	0.03319589	0
vTL66	kTL66_2	lin	100	100	100	0
vTL67	kTL67_1	lin	0.07122388	0.07122388	0.07122388	0
vTL67	kTL67_2	lin	100	100	100	0
vTL68	kTL68_1	lin	0.003920992	0.003920992	0.003920992	0
vTL68	kTL68_2	lin	100	100	100	0
vTL69	kTL69_1	lin	0.05176996	0.05176996	0.05176996	0
vTL69	kTL69_2	lin	100	100	100	0
vTL70	kTL70_1	lin	0.6184815	0.6184815	0.6184815	0
vTL70	kTL70_2	lin	100	100	100	0
vTL71	kTL71_1	lin	0.03020566	0.03020566	0.03020566	0
vTL71	kTL71_2	lin	100	100	100	0
vTL72	kTL72_1	lin	0.03179077	0.03179077	0.03179077	0
vTL72	kTL72_2	lin	100	100	100	0
vTL73	kTL73_1	lin	0.01463618	0.01463618	0.01463618	0
vTL73	kTL73_2	lin	100	100	100	0
vTL74	kTL74_1	lin	0.01108511	0.01108511	0.01108511	0
vTL74	kTL74_2	lin	100	100	100	0
vTL75	kTL75_1	lin	0.002549623	0.002549623	0.002549623	0
vTL75	kTL75_2	lin	100	100	100	0
vTL76	kTL76_1	lin	0.002549623	0.002549623	0.002549623	0
vTL76	kTL76_2	lin	100	100	100	0
vTL77	kTL77_1	lin	0.0974545	0.0974545	0.0974545	0
vTL77	kTL77_2	lin	100	100	100	0
vTL78	kTL78_1	lin	0.00544119	0.00544119	0.00544119	0
vTL78	kTL78_2	lin	100	100	100	0
vTL79	kTL79_1	lin	4.92E-05	4.92E-05	4.92E-05	0
vTL79	kTL79_2	lin	100	100	100	0
vTL80	kTL80_1	lin	0.02728923	0.02728923	0.02728923	0
vTL80	kTL80_2	lin	100	100	100	0
vTL81	kTL81_1	lin	0.01395976	0.01395976	0.01395976	0
vTL81	kTL81_2	lin	100	100	100	0
vTL82	kTL82_1	lin	0.2953445	0.2953445	0.2953445	0
vTL82	kTL82_2	lin	100	100	100	0
vTL83	kTL83_1	lin	0.2953445	0.2953445	0.2953445	0
